,Year,Population_Growth,GDP_Growth,Inflation
0,2000,1.112768997,4.077585758,2.265195177
1,2001,0.989741382,0.955538346,2.251689916
2,2002,0.927797486,1.700447324,1.55399466
3,2003,0.859481713,2.795605966,1.974314705
4,2004,0.925483969,3.847771692,2.689087603
5,2005,0.921713167,3.483549938,3.135454557
6,2006,0.964253917,2.784539639,3.083836734
7,2007,0.951055243,2.003858298,2.709258487
8,2008,0.945865287,0.113587248,1.926709699
9,2009,0.876651299,-2.576500234,0.616780715
10,2010,0.829616675,2.695192584,1.215286682
11,2011,0.726786705,1.564406854,2.063109475
12,2012,0.733599941,2.289113388,1.862164928
13,2013,0.692860277,2.117830099,1.701880361
14,2014,0.73336152,2.523819814,1.741618053
15,2015,0.736217309,2.945550455,0.928042795
